5C_1713_ENr121_FOR_162|hg19|chr2:118761951-118762647	5C_1713_ENr121_REV_158|hg19|chr2:118749135-118755560	2309.16	1783.49
5C_1713_ENr121_FOR_86|hg19|chr2:118539524-118544883	5C_1713_ENr121_REV_159|hg19|chr2:118755560-118760863	605.169	825.85
5C_1714_ENr122_FOR_45|hg19|chr18:61390618-61398059	5C_1714_ENr122_REV_129|hg19|chr18:61636347-61637821	662.597	534.043
5C_1714_ENr122_FOR_75|hg19|chr18:61486751-61494871	5C_1714_ENr122_REV_60|hg19|chr18:61439717-61444033	1426.56	773.606
5C_1714_ENr122_FOR_87|hg19|chr18:61531279-61534181	5C_1714_ENr122_REV_129|hg19|chr18:61636347-61637821	1277.41	784.069
5C_1714_ENr122_FOR_95|hg19|chr18:61544804-61547698	5C_1714_ENr122_REV_129|hg19|chr18:61636347-61637821	1096.24	1624.85
5C_1716_ENr131_FOR_74|hg19|chr2:234817432-234818955	5C_1716_ENr131_REV_15|hg19|chr2:234543708-234558325	1629.79	428.428
5C_1716_ENr131_FOR_87|hg19|chr2:234843685-234852750	5C_1716_ENr131_REV_15|hg19|chr2:234543708-234558325	887.101	341.11
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_16|hg19|chr13:113342742-113346444	2262.27	1921.54
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	3977.77	2711.16
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_34|hg19|chr13:113436687-113445412	2582.13	937.784
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_48|hg19|chr13:113503767-113513563	1628	1315.12
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_4|hg19|chr13:113294757-113305233	1272.75	1451.33
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_70|hg19|chr13:113631771-113637197	966.186	518.352
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_79|hg19|chr13:113678635-113686689	1102.41	1010.22
5C_1717_ENr132_FOR_32|hg19|chr13:113419488-113428631	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	1453.12	916.427
5C_1717_ENr132_FOR_38|hg19|chr13:113466485-113470083	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	2137.8	903.395
5C_1717_ENr132_FOR_62|hg19|chr13:113567711-113586862	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	934.579	856.618
5C_1717_ENr132_FOR_62|hg19|chr13:113567711-113586862	5C_1717_ENr132_REV_4|hg19|chr13:113294757-113305233	644.402	1037.35
