5C_1713_ENr121_FOR_86|hg19|chr2:118539524-118544883	5C_1713_ENr121_REV_159|hg19|chr2:118755560-118760863	116.873	198.536
5C_1715_ENr123_FOR_21|hg19|chr12:40402537-40410050	5C_1715_ENr123_REV_50|hg19|chr12:40497414-40501128	638.41	623.153
5C_1717_ENr132_FOR_1|hg19|chr13:113290064-113292841	5C_1717_ENr132_REV_34|hg19|chr13:113436687-113445412	309.611	252.47
5C_1717_ENr132_FOR_1|hg19|chr13:113290064-113292841	5C_1717_ENr132_REV_81|hg19|chr13:113714650-113727902	102.852	211.992
5C_1717_ENr132_FOR_1|hg19|chr13:113290064-113292841	5C_1717_ENr132_REV_85|hg19|chr13:113744147-113753700	148.67	156.641
5C_1717_ENr132_FOR_21|hg19|chr13:113368981-113369512	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	1926.35	1535.64
5C_1717_ENr132_FOR_21|hg19|chr13:113368981-113369512	5C_1717_ENr132_REV_85|hg19|chr13:113744147-113753700	55.9422	151.083
5C_1717_ENr132_FOR_23|hg19|chr13:113374669-113379914	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	1196.27	861.558
5C_1717_ENr132_FOR_26|hg19|chr13:113380317-113384276	5C_1717_ENr132_REV_16|hg19|chr13:113342742-113346444	529.953	605.881
5C_1717_ENr132_FOR_26|hg19|chr13:113380317-113384276	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	974.452	1409.09
5C_1717_ENr132_FOR_26|hg19|chr13:113380317-113384276	5C_1717_ENr132_REV_34|hg19|chr13:113436687-113445412	301.965	391.158
5C_1717_ENr132_FOR_26|hg19|chr13:113380317-113384276	5C_1717_ENr132_REV_4|hg19|chr13:113294757-113305233	265.886	606.4
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_16|hg19|chr13:113342742-113346444	470.744	539.026
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	1055.16	800.759
5C_1717_ENr132_FOR_27|hg19|chr13:113384276-113395090	5C_1717_ENr132_REV_4|hg19|chr13:113294757-113305233	496.473	326.726
5C_1717_ENr132_FOR_28|hg19|chr13:113395090-113398062	5C_1717_ENr132_REV_16|hg19|chr13:113342742-113346444	286.57	481.425
5C_1717_ENr132_FOR_28|hg19|chr13:113395090-113398062	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	646.443	711.002
5C_1717_ENr132_FOR_28|hg19|chr13:113395090-113398062	5C_1717_ENr132_REV_4|hg19|chr13:113294757-113305233	283.234	457.367
5C_1717_ENr132_FOR_32|hg19|chr13:113419488-113428631	5C_1717_ENr132_REV_16|hg19|chr13:113342742-113346444	250.72	492.314
5C_1717_ENr132_FOR_32|hg19|chr13:113419488-113428631	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	821.131	1041.8
5C_1717_ENr132_FOR_32|hg19|chr13:113419488-113428631	5C_1717_ENr132_REV_34|hg19|chr13:113436687-113445412	3781.55	2187.3
5C_1717_ENr132_FOR_32|hg19|chr13:113419488-113428631	5C_1717_ENr132_REV_48|hg19|chr13:113503767-113513563	356.588	358.855
5C_1717_ENr132_FOR_32|hg19|chr13:113419488-113428631	5C_1717_ENr132_REV_4|hg19|chr13:113294757-113305233	506.857	544.152
5C_1717_ENr132_FOR_32|hg19|chr13:113419488-113428631	5C_1717_ENr132_REV_85|hg19|chr13:113744147-113753700	84.7591	185.851
5C_1717_ENr132_FOR_33|hg19|chr13:113428631-113436687	5C_1717_ENr132_REV_19|hg19|chr13:113348809-113360063	450.621	611.189
