Pair	Ctcf_E	Dnase1_E	H3k27ac_E	H3k27me3_E	H3k36me3_E	H3k4me2_E	H3k9ac_E	H4k20me1_E	Rad21_E	Tbp_E	Ctcf_P	Dnase1_P	H3k27ac_P	H3k27me3_P	H3k36me3_P	H3k4me2_P	H3k9ac_P	H4k20me1_P	Rad21_P	Tbp_P	Correlation	Exp	Class
chr11_116475625_116476101-chr11_116734834_116737615	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.412289	0
chr11_116575390_116576801-chr11_116826662_116828140	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47946e-17	0.412289	0
chr11_116617499_116620420-chr11_116640802_116647668	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	-0.157656	0.50146	0
chr11_116620420_116622059-chr11_116737744_116757175	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0.194298	0.412289	0
chr11_116799699_116801557-chr11_116657531_116663531	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	-1.64997e-16	0.866369	0
chr11_116833336_116844131-chr11_116737744_116757175	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0.205819	0.412289	0
chr11_116844131_116848494-chr11_116707939_116710822	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1.56518e-16	0.013736	0
chr11_116869626_116870890-chr11_116657531_116663531	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	0	1	1	-1.64997e-16	0.866369	0
chr11_116908236_116911138-chr11_116734834_116737615	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0.111111	0.412289	0
chr11_131166749_131166803-chr11_131237805_131240614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.509145	0
chr11_131262486_131264111-chr11_131237805_131240614	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.77665e-17	0.509145	0
chr11_131278199_131279277-chr11_131237805_131240614	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3.68684e-17	0.509145	0
chr11_131417852_131430539-chr11_131237805_131240614	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2.02271e-17	0.509145	0
chr11_131473453_131479226-chr11_131448816_131456703	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.173342	0.509145	0
chr11_2173108_2175866-chr11_1924739_1956483	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	1	0	0.894082	0.000221	0
chr11_2231513_2232506-chr11_1841988_1867907	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0.549271	0.005076	0
chr11_2231513_2232506-chr11_1879294_1891522	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0.000731	0
chr11_2272558_2285383-chr11_2319679_2334460	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.0053312	0	0
chr11_2317152_2319679-chr11_2319679_2334460	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0.376713	0	0
chr11_64283665_64292231-chr11_64356433_64395036	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.21293	0.050522	0
chr11_64312302_64322633-chr11_64519906_64523887	1	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.108797	0.257599	0
chr11_64312302_64322633-chr11_64655002_64658316	1	1	0	1	0	0	0	0	1	0	1	1	0	0	0	1	1	0	1	0	0.664823	0.884406	0
chr11_64395036_64397730-chr11_64535815_64538326	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0.317891	2.64633	0
chr11_64395036_64397730-chr11_64642645_64655002	1	1	0	0	0	0	0	0	1	0	1	1	1	1	0	1	1	0	0	1	0.22894	0.884406	0
chr11_64464888_64468697-chr11_64535815_64538326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2.64633	0
chr11_64483476_64485148-chr11_64655002_64658316	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0.213129	0.884406	0
chr12_40350301_40351146-chr12_40793507_40812339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.066237	0
chr12_40631881_40633164-chr12_40497414_40501128	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	1	0	0	1.16556e-16	0.055267	0
chr13_113292841_113293660-chr13_113342742_113346444	0	0	0	1	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	0.0619668	0.990564	0
chr13_113293660_113294757-chr13_113436687_113445412	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.165228	0.990564	0
chr13_113324265_113328031-chr13_113342742_113346444	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1.74295e-16	0.990564	0
chr13_113329148_113339280-chr13_113631771_113637197	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2.84488e-16	0.489771	0
chr13_113341505_113342742-chr13_113436687_113445412	0	1	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0.664441	0.990564	0
chr13_113360063_113368981-chr13_113618557_113623811	1	1	1	0	0	1	1	0	1	1	1	1	0	1	0	1	0	0	1	0	0.32515	0.489771	0
chr13_113369512_113374669-chr13_113638985_113646961	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0.938242	0.489771	0
chr13_113374669_113379914-chr13_113348809_113360063	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0.894639	0.990564	0
chr13_113380054_113380317-chr13_113638985_113646961	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0.938242	0.489771	0
chr13_113395090_113398062-chr13_113342742_113346444	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1.74295e-16	0.990564	0
chr13_113496478_113497139-chr13_113678635_113686689	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0.500329	0.489771	0
chr13_113513563_113514307-chr13_113551592_113558711	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0.269335	0.489771	0
chr13_113513563_113514307-chr13_113618557_113623811	0	0	0	0	1	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	-0.315163	0.489771	0
chr13_113542822_113546320-chr13_113618557_113623811	0	1	1	1	0	1	1	0	0	0	1	1	0	1	0	1	0	0	1	0	0.0633721	0.489771	0
chr13_113561249_113564435-chr13_113744147_113753700	0	1	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	1	1	-0.123886	0.489771	0
chr13_113586862_113599247-chr13_113631771_113637197	1	1	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0.539378	0.489771	0
chr13_113586862_113599247-chr13_113744147_113753700	1	1	0	0	0	1	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0.693889	0.489771	0
chr13_113599247_113615511-chr13_113686689_113714650	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0.36832	0.489771	0
chr13_113599247_113615511-chr13_113744147_113753700	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0.660193	0.489771	0
chr13_113624848_113631771-chr13_113503767_113513563	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.154713	0.990564	0
